sentimen,Tweet
-1,Udah numpuk emosi gue dari kemarin sama orang2 luar jakarta yang bahkan ga tau keadaan sebenarnya wkwkwk apa apa polusi polusi. Sotil banget. Wkwk
0,untuk kesekian kalinya lagi lagi lagi apa? Ya benar lagi mikirin masa depan dan menikmati polusi malam.
-1,"bulan ini breakout parah karena memangmau haid + polusi lagi jelek bangettt
lagi rutin pake serum acne ini ternyata setelah 7 hari lumayan ampuh banget buat jerawat meradang jerawat kecil dan bekas jerawatnya!!"
0,yang bikin polusi mah sono anjir. lu minim polusi karena lu tinggal impor. no limbah tinggal beli nawar harga murah.
-1,GA USAH LEBAY. Jakarta udaranya masih biasa saja dibanding Pontianak Banjarmasin Palembang Pekanbaru yang pagi pagi saja bau bakar bakaran ga bisa liat apapun juga. No offense ke kota kota di atas. but that's the fact. gue kesana langsung dalam 2 bulan terakhir karena dinas pekerjaan.
-1,Iyaa bener kemarin sekeluarga juga sakit tenggorokan. untungnyacepet dibawa ke rumah sakit pakai masker terus tolongs soalnya polusi lagi parah-parahnya.
-1,Gue jam 5 tadi keluar ke arah tiban. Asli bener bener kabut asap polusi entah dari mana. Gue cuman keluar 2 jam full sore riding sampai rumah bersihin muka Dan hasilnya di kamar bener bener item item seperti daki gitu. Buset polusinya
-1,kemarin jakarta sudah dapat polusi dari kendaraan sekarang semarang ada polusi dari tempat sampahyang dimana notabene itu asap tebal dan bahaya banget buat manusia atmosfer. memang sebenernya ga boleh dibakar kan
-1,pagi memang BOLEH sepagi ini sudah berkabut asap kendaraan?
-1,"hahaha
mesin turun sudah kayak kendaraan lama yak
iyaa ya
aku batuk semingguan
lagi asap di tempatku"
-1,"Kesamaan penderita ISPA Luar Jawa = ISPA karena asap kebakaran hutan
Jawa ISPA = karena polusi udara kendaraan bermotor dan kebakaran gunung sampah tapi di berbagai daerah"
-1,Iya udara nya banyak sekali polusi yang tercemar dari asap kendaraan dan asap pembakaran semoga turun hujan ya
-1,Lokasi2 di indonesia tidak terintegrasi dengan baik penataannya kebanyakan tidak pertimbangin hal itu. Dan pejalan kaki juga tidak nyaman pohon minim panas asap kendaraan pedestrian juga jarang yang memadai. Makanya kenapa orang prefer pake mobil pribadi
0,itukan tetapi saja baju dari luar kena debu asap kendaraan dan kamu masukin lagi ke lemari? lebih baik kamu gantung di belakang pintu deh daripada masukin lemari
0,Tim Solusi Rendah Karbon ExxonMobil sedang mengembangkan teknologi penangkapan dan penyimpanan karbon (CCS) untuk mengurangi emisi CO2 dari industri-industri utama. Kami berdiskusi dengan dari. Prasanna Joshi yang memberikan gagasannya tentang teknologi ini.
-1,"Bener bang dimana"" polusi entah itu polusi kendaraan atau asap pembakaran sampah"
-1,Reall polusi jelek banget ngaruh ke muka
1,Sepertinya jika pak ganjar jadi presiden polusi akan bisa diatasi dengan menerapkan menanam pohon satu hari satu pohon pak mantap
0,"Karena terlahir dan dibesarkan di sini aku mencintai kota ini apa adanya
Saat macet panas rusuh sesak polusi kotor dan kesusahan apapun. Aku tak pernah menyalahkannya
Saat dia berjaya biarkan aku merayakannya sendirian
Gue sayang Jakarta selamanya"
0,Lagi dijalan saja nihjaga kesehatan selalu ya Maeengapalagi polusi di ibukota hehe
0,"Polusi tadi pagi (7/10) di bisa pukul 5:40 pagi.
‍
Entahlah. Itu apartment sampai ga keliatan."
-1,aku habis banget ngerjain tugas yang ga ngotak inicapek banget pusingkamu jaga kesehatan yapolusi di indonesia ini agak gimana gitu wkwkwkjangan lupa pake masker yawwwlove u
